Wall time,Step,Value
1616803604.6665652,584,2240.65185546875
1616803615.1448202,586,2009.771240234375
1616803620.4206758,587,1724.3387451171875
1616803647.057782,592,1612.1328125
1616803652.3657393,593,1184.0274658203125
1616803700.358675,602,1782.792724609375
1616803731.6843736,608,2493.030029296875
1616803742.1299458,610,74554.484375
1616803768.288192,615,4161.615234375
1616803795.032706,620,1362.2777099609375
1616803806.0922894,622,646.915771484375
1616803870.2997231,634,902.9095458984375
1616803906.4652684,641,521.69775390625
1616803911.9012902,642,526.3701782226562
1616803922.2336638,644,255.55706787109375
1616803927.5895183,645,324.9102783203125
1616803932.7369375,646,208.76654052734375
1616803938.4877987,647,424.1201171875
1616803949.3102374,649,512.1441650390625
1616803965.3784754,652,498.54541015625
1616803986.231648,656,173.35142517089844
1616804012.2946534,661,307.9602355957031
1616804027.780284,664,205.45713806152344
1616804049.3072097,668,328.48260498046875
1616804065.2002516,671,426.88751220703125
1616804070.665124,672,260.5825500488281
1616804081.1960495,674,140.18301391601562
1616804086.6047587,675,127.09056091308594
1616804102.2350996,678,76.46310424804688
1616804107.4130461,679,139.46728515625
1616804123.236798,682,195.04635620117188
1616804128.0795238,683,160.80120849609375
1616804154.5344582,688,231.0235137939453
1616804159.955053,689,281.5778503417969
1616804197.6043937,696,305.6415100097656
1616804213.9139423,699,379.0635986328125
1616804234.9746788,703,927.6203002929688
1616804250.469138,706,635.37744140625
1616804261.010495,708,564.843994140625
1616804271.52347,710,1099.7962646484375
1616804292.3136947,714,651.0105590820312
1616804313.5898101,718,189.82240295410156
1616804329.5297563,721,123.23479461669922
1616804334.754712,722,99.77715301513672
1616804340.4479365,723,91.00816345214844
1616804377.902089,730,189.0362091064453
1616804409.0892258,736,55.4639892578125
1616804419.4363167,738,73.30282592773438
1616804424.924994,739,56.50822448730469
1616804445.5192876,743,354.8203430175781
1616804467.0716484,747,164.84852600097656
1616804483.5698988,750,241.70770263671875
1616804488.625186,751,256.7046203613281
1616804493.7575965,752,175.95266723632812
1616804504.5014179,754,329.12213134765625
1616804515.6003938,756,537.17578125
1616804561.3794432,765,244.161865234375
1616804566.6848724,766,278.1669921875
1616804581.676223,769,480.7676696777344
1616804587.3894196,770,546.2892456054688
1616804592.527164,771,635.5253295898438
1616804603.7242591,773,1054.8984375
1616804608.7800283,774,796.6276245117188
1616804640.8757565,780,1953.822998046875
1616804662.0108626,784,2035.2718505859375
1616804666.8670273,785,2478.936279296875
1616804677.3301566,787,2504.069580078125
1616804687.9963033,789,1430.5318603515625
1616804703.7261922,792,815.4160766601562
1616804708.7522173,793,2723.97119140625
1616804714.2145188,794,5880.076171875
1616804719.7436426,795,4921.82177734375
1616804735.9223638,798,3029.602294921875
1616804757.6512072,802,1278.6292724609375
1616804784.0817924,807,825.4581909179688
1616804789.3843665,808,635.0330200195312
1616804794.7386277,809,489.7212829589844
1616804826.511282,815,701.7061767578125
1616804857.886595,821,551.9234619140625
1616804879.3002765,825,315.5830078125
1616804895.6627936,828,624.9141845703125
1616804916.7251797,832,1811.4222412109375
1616804937.4628403,836,1519.3946533203125
1616804947.9113266,838,2340.7353515625
1616804973.8855932,843,1092.565185546875
1616804990.7162106,846,452.7177429199219
1616805102.390171,867,887558.75
1616805112.187017,869,nan
1616805117.1183293,870,nan
1616805137.8537102,874,nan
1616805148.0809875,876,nan
1616805168.9793878,880,nan
1616805179.672384,882,nan
1616805220.143607,890,nan
1616805251.9587479,896,nan
1616805273.2778068,900,nan
1616805309.3315752,907,nan
1616805314.5501251,908,nan
1616805319.617142,909,nan
1616805324.8438408,910,nan
1616805351.3220687,915,nan
1616805362.0348353,917,nan
1616805378.3056326,920,nan
1616805383.5468545,921,nan
1616805394.0020506,923,nan
1616805436.2025473,931,nan
1616805441.3485672,932,nan
1616805456.7156856,935,nan
1616805493.8876042,942,nan
1616805509.6479595,945,nan
1616805555.7692015,954,nan
1616805566.5225925,956,nan
1616805571.9753358,957,nan
1616805577.2004228,958,nan
1616805592.5789492,961,nan
1616805597.8183012,962,nan
1616805618.4519002,966,nan
1616805644.5536046,971,nan
1616805649.7398856,972,nan
1616805671.0720484,976,nan
1616805676.6883147,977,nan
1616805681.878173,978,nan
1616805687.3358366,979,nan
1616805708.7422452,983,nan
1616805713.8911095,984,nan
1616805729.7652097,987,nan
1616805734.9981887,988,nan
1616805776.3556287,996,nan
1616805797.419892,1000,nan
1616805808.0545447,1002,nan
1616805818.4612908,1004,nan
1616805823.7341115,1005,nan
1616805859.8796313,1012,nan
1616805864.7306967,1013,nan
1616805870.2237692,1014,nan
1616805886.119907,1017,nan
1616805928.8581526,1025,nan
1616805939.161493,1027,nan
1616805959.0717444,1031,nan
1616805964.1761758,1032,nan
1616805979.655586,1035,nan
1616805990.1907718,1037,nan
1616806027.1009855,1044,nan
1616806083.335618,1055,nan
1616806092.9697704,1057,nan
1616806125.522423,1063,nan
1616806129.4520268,1064,nan
1616806139.6661377,1066,nan
1616806150.1901438,1068,nan
1616806170.3877454,1072,nan
1616806192.3026545,1076,nan
1616806202.9150887,1078,nan
1616806229.1977344,1083,nan
1616806234.469369,1084,nan
1616806239.4504538,1085,nan
1616806280.6015754,1093,nan
1616806312.1199007,1099,nan
1616806333.1847653,1103,nan
1616806338.8221054,1104,nan
1616806343.9253175,1105,nan
1616806390.4489093,1114,nan
1616806400.92466,1116,nan
1616806417.0568645,1119,nan
1616806446.521731,1125,nan
1616806451.787088,1126,nan
1616806487.74097,1133,nan
1616806498.300179,1135,nan
1616806603.7898273,1155,nan
1616806609.1673996,1156,nan
1616806630.2524889,1160,nan
1616806635.899976,1161,nan
1616806641.4210145,1162,nan
1616806735.931126,1180,nan
1616806751.734644,1183,nan
1616806762.71212,1185,nan
1616806799.7572742,1192,nan
1616806804.4812794,1193,nan
1616806835.7310712,1199,nan
1616806846.291606,1201,nan
1616806873.1607857,1206,nan
1616806883.8045723,1208,nan
1616806894.433792,1210,nan
1616806915.5368397,1214,nan
1616806967.2888067,1224,nan
1616807009.919561,1232,nan
1616807015.5635798,1233,nan
1616807020.6647801,1234,nan
1616807031.2014985,1236,nan
1616807046.556676,1239,nan
1616807072.6872823,1244,nan
1616807088.8167195,1247,nan
1616807118.746545,1253,nan
1616807128.6360931,1255,nan
1616807139.1576295,1257,nan
1616807144.4088206,1258,nan
1616807160.0801713,1261,nan
1616807170.456416,1263,nan
1616807186.5151,1266,nan
1616807228.2674668,1274,nan
1616807265.0515833,1281,nan
1616807297.4768298,1287,nan
1616807318.8661711,1291,nan
1616807323.7299812,1292,nan
1616807329.0085855,1293,nan
1616807334.3858523,1294,nan
1616807365.504451,1300,nan
1616807381.1855597,1303,nan
1616807418.5650723,1310,nan
1616807429.3537464,1312,nan
1616807444.880674,1315,nan
1616807449.9416668,1316,nan
1616807465.4766924,1319,nan
1616807495.929462,1325,nan
1616807507.0199873,1327,nan
1616807523.171898,1330,nan
1616807539.1456296,1333,nan
1616807544.3744512,1334,nan
1616807555.2149987,1336,nan
1616807560.463929,1337,nan
1616807591.798725,1343,nan
1616807655.2450955,1355,nan
1616807712.3212621,1366,nan
1616807733.2418315,1370,nan
1616807780.1931064,1379,nan
1616807806.258003,1384,nan
1616807811.5214012,1385,nan
1616807827.7290535,1388,nan
1616807833.1087801,1389,nan
1616807843.771609,1391,nan
1616807849.17115,1392,nan
1616807865.3151078,1395,nan
1616807954.529317,1412,nan
1616807959.678984,1413,nan
1616807964.8611958,1414,nan
1616807991.7285414,1419,nan
1616808007.195066,1422,nan
1616808026.3401382,1426,nan
1616808032.007596,1427,nan
1616808036.8611593,1428,nan
1616808058.3865547,1432,nan
1616808063.748001,1433,nan
1616808079.431719,1436,nan
1616808100.6861866,1440,nan
1616808110.623124,1442,nan
1616808184.4873788,1456,nan
1616808231.3571181,1465,nan
1616808236.6009634,1466,nan
1616808295.3722274,1477,nan
1616808337.1395605,1485,nan
1616808341.7911031,1486,nan
1616808357.5166912,1489,nan
1616808368.3799884,1491,nan
1616808373.2564702,1492,nan
1616808416.0870676,1500,nan
1616808421.5970573,1501,nan
1616808426.2614613,1502,nan
1616808447.087037,1506,nan
1616808457.3066902,1508,nan
1616808467.9437246,1510,nan
1616808510.7581391,1518,nan
1616808536.5683167,1523,nan
1616808540.7661316,1524,nan
1616808556.4748673,1527,nan
1616808593.4576235,1534,nan
1616808656.4983275,1546,nan
1616808682.6530514,1551,nan
1616808687.2651553,1552,nan
1616808697.9762616,1554,nan
1616808702.9498038,1555,nan
1616808734.042951,1561,nan
1616808770.983287,1568,nan
1616808776.6469073,1569,nan
1616808822.735742,1578,nan
1616808841.6997,1582,nan
1616808852.6289928,1584,nan
1616808873.217675,1588,nan
1616808918.9402552,1597,nan
1616808956.7571423,1604,nan
1616808961.160908,1605,nan
1616808986.8066044,1610,nan
1616809027.4336162,1618,nan
1616809037.6462483,1620,nan
1616809074.7011836,1627,nan
1616809079.4265442,1628,nan
1616809098.7213826,1632,nan
1616809123.486626,1637,nan
1616809139.5600505,1640,nan
1616809149.935547,1642,nan
1616809165.751417,1645,nan
1616809180.6803005,1648,nan
1616809201.023211,1652,nan
1616809243.2843323,1660,nan
1616809283.8982282,1668,nan
1616809294.4231734,1670,nan
1616809305.1099963,1672,nan
1616809321.3652062,1675,nan
1616809326.4690647,1676,nan
1616809357.972137,1682,nan
1616809362.9121172,1683,nan
1616809404.3950684,1691,nan
1616809420.1742566,1694,nan
1616809425.7202356,1695,nan
1616809430.8024156,1696,nan
1616809435.7081685,1697,nan
1616809446.1323202,1699,nan
1616809461.6279948,1702,nan
1616809498.945025,1709,nan
1616809504.30768,1710,nan
1616809540.5422761,1717,nan
1616809545.608433,1718,nan
1616809550.766248,1719,nan
1616809598.6036563,1728,nan
1616809619.2066092,1732,nan
1616809629.6762352,1734,nan
1616809634.6352816,1735,nan
1616809645.0288103,1737,nan
1616809671.6192222,1742,nan
1616809676.8289201,1743,nan
1616809687.4252522,1745,nan
1616809692.71565,1746,nan
1616809698.0405204,1747,nan
1616809723.8023243,1752,nan
1616809797.6140792,1766,nan
1616809844.8021266,1775,nan
1616809876.1032157,1781,nan
1616809913.5098662,1788,nan
1616809919.201714,1789,nan
1616809964.847331,1798,nan
1616810001.1264632,1805,nan
1616810042.918356,1813,nan
1616810048.2640893,1814,nan
1616810064.4182796,1817,nan
1616810099.763444,1824,nan
1616810110.0709302,1826,nan
1616810131.8505242,1830,nan
1616810183.6765857,1840,nan
1616810189.0444818,1841,nan
1616810204.1288383,1844,nan
1616810229.7301884,1849,nan
1616810251.518334,1853,nan
1616810319.7338412,1866,nan
1616810330.4820778,1868,nan
